name,value,unit,provenance,note
FIN_S,60.0,mm,ASSUMPTION,"Semi-span (exposed, from body surface). Selected by trade study for 2-3 cal margin."
FIN_XR,70.0,mm,ASSUMPTION,"Leading-edge sweep length (root LE to tip LE, parallel to axis). Tip TE stays 20 mm forward of the tail."
FIN_T,3.0,mm,ASSUMPTION,"Fin thickness: 3 mm aircraft birch ply (baseline) or 3.2 mm G10 (upgrade, heavier)."
FIN_TAB_FWD,10.0,mm,ASSUMPTION,Tab starts this far aft of root LE.
FIN_SLOT_CLR,0.3,mm,ASSUMPTION,Tube slot width = FIN_T + FIN_SLOT_CLR.
FIN_GUIDE_CLR,0.2,mm,ASSUMPTION,Printed guide slot width = FIN_T + FIN_GUIDE_CLR.
FIN_TAB_CLR,0.2,mm,ASSUMPTION,Radial clearance between fin tab root and the BO-403 tab floor.
LOCK_SCREW_R,26.0,mm,ASSUMPTION,Pitch radius of the 4 lock-ring screws (45/135/225/315 deg).
RB_FWD_OFF,9.0,mm,ASSUMPTION,Forward rail button this far forward of the MMT forward end (on BO-409).
RB_AFT_OFF,29.0,mm,ASSUMPTION,Aft rail button this far forward of the tail (on BO-403 boss).
RB_ANG,45,deg,ASSUMPTION,"Rail-button line, midway between fins 1 and 2."
KEVLAR_NOTCH_ANG,225,deg,ASSUMPTION,Aramid leader notch in BO-404 (opposite the rail line).
INS_M3_D,4.0,mm,ASSUMPTION,Hole for M3 brass heat-set insert (use the insert maker's value).
INS_M3_L,5.0,mm,ASSUMPTION,M3 insert length (insert maker).
INS_M25_D,3.6,mm,ASSUMPTION,Hole for M2.5 heat-set insert (insert maker).
INS_M25_L,4.0,mm,ASSUMPTION,M2.5 insert length (insert maker).
INS_M4_D,5.6,mm,ASSUMPTION,Hole for M4 heat-set insert in printed bosses (insert maker).
INS_M4_L,6.0,mm,ASSUMPTION,M4 insert length (insert maker).
CLR_M25,2.9,mm,COMMERCIAL SPEC,"ISO 273 medium clearance hole, M2.5."
CLR_M3,3.4,mm,COMMERCIAL SPEC,"ISO 273 medium clearance hole, M3."
CLR_M4,4.5,mm,COMMERCIAL SPEC,"ISO 273 medium clearance hole, M4."
CLR_M6,6.5,mm,ASSUMPTION,Close clearance for the M6 eyebolt / ballast rod.
TNUT_BARREL_D,5.5,mm,ASSUMPTION,M4 tee-nut barrel hole (confirm with purchased tee-nut).
TNUT_FLANGE_D,15.0,mm,ASSUMPTION,M4 tee-nut flange diameter (confirm; used for clearance checks).
TNUT_FLANGE_T,1.5,mm,ASSUMPTION,M4 tee-nut flange thickness (confirm).
NUT_M4_H,5.0,mm,COMMERCIAL SPEC,DIN 985 M4 nylock nut height (verify against purchased part).
WASHER_M4_T,0.8,mm,COMMERCIAL SPEC,ISO 7089 M4 washer thickness.
SHCS_M3_DK,5.5,mm,COMMERCIAL SPEC,ISO 4762 M3 socket-head diameter (tool-access checks).
RB_ENV_D,12.0,mm,COMMERCIAL SPEC,Rail-button ENVELOPE placeholder diameter; real size from button maker.
RB_ENV_H,9.0,mm,COMMERCIAL SPEC,Rail-button ENVELOPE placeholder standoff; real size from button maker.
EYE_ENV_D,24.0,mm,COMMERCIAL SPEC,M6 eyebolt ENVELOPE placeholder (eye OD); from eyebolt maker.
EYE_ENV_L,36.0,mm,COMMERCIAL SPEC,M6 eyebolt ENVELOPE placeholder length aft of AV-304.
RET_ENV_L,22.0,mm,COMMERCIAL SPEC,PLACEHOLDER ONLY (retainer length aft of airframe). Replace via simulation/motor_config.json with the selected certified product's published data.
FN,96,-,ASSUMPTION,OpenSCAD facets per full circle (CAD resolution only).
PETG_RHO,1.27,g/cm3,ASSUMPTION,Typical PETG filament density (check spool datasheet).
ASA_RHO,1.07,g/cm3,ASSUMPTION,Typical ASA filament density (check spool datasheet).
PLY_RHO,0.68,g/cm3,ASSUMPTION,"Aircraft birch plywood, typical. Weigh your sheet."
STEEL_RHO,7.9,g/cm3,ASSUMPTION,Stainless steel A2.
MOTOR_L,125.0,mm,COMMERCIAL SPEC,PLACEHOLDER ONLY (motor length). Replace via simulation/motor_config.json with the selected certified product's published data.
MOTOR_M0,110.0,g,COMMERCIAL SPEC,PLACEHOLDER ONLY (loaded motor mass). Replace via simulation/motor_config.json with the selected certified product's published data.
MOTOR_MB,55.0,g,COMMERCIAL SPEC,PLACEHOLDER ONLY (burnout motor mass). Replace via simulation/motor_config.json with the selected certified product's published data.
RET_MASS,25.0,g,COMMERCIAL SPEC,PLACEHOLDER ONLY (retainer mass). Replace via simulation/motor_config.json with the selected certified product's published data.
V_DESC,5.0,m/s,ASSUMPTION,Target descent rate under main parachute.
CHUTE_D,1067.0,mm,ASSUMPTION,Selected nominal parachute diameter (42 in class) from the descent-rate calculation.
CHUTE_CD,0.8,-,ASSUMPTION,Parachute drag coefficient on nominal area. Replace with the chute manufacturer's figure if published.
RHO_AIR,1.225,kg/m3,ASSUMPTION,ISA sea level. Use site altitude/temperature in the simulator (USER).
SHOCK_K,1.8,-,ASSUMPTION,Opening-shock amplification over steady drag (conservative planning value).
N_AX,15.0,g,ASSUMPTION,Design axial load factor. REPLACE with 1.5 x simulated peak acceleration of the chosen motor.
V_MAX,90.0,m/s,ASSUMPTION,"Design velocity limit for this airframe (printed nose, kraft tubes, ply fins)."
ALPHA_GUST,10.0,deg,ASSUMPTION,Angle of attack for fin side-load check (rail exit in cross-wind).
TAU_BOND,1.0,MPa,ASSUMPTION,Allowable shear on epoxy-to-paper tube bonds (paper delamination governs; very conservative).
PLY_SIG,40.0,MPa,ASSUMPTION,"Allowable bending stress, birch ply (conservative vs typical published values)."
PLY_G,0.6,GPa,ASSUMPTION,"In-plane shear modulus, 3 mm birch ply (for flutter screening only)."
TUBE_E,3.0,GPa,ASSUMPTION,Axial modulus of kraft/phenolic tube (vibration order-of-magnitude only).
A2_70_PROOF,450.0,MPa,COMMERCIAL SPEC,ISO 3506-1 property class A2-70 minimum 0.2% proof stress.
M4_AS,8.78,mm2,COMMERCIAL SPEC,"ISO 898 / ISO 724 tensile stress area, M4 coarse."
RAIL,1010,-,USER-SUPPLIED,Launch rail profile offered by YOUR range. Rail buttons must match it.
RAIL_L,1.0,m,USER-SUPPLIED,Usable rail length at YOUR range (planning value 1.0 m).
